Latitude,Longitude,SQM Reading
38.4006,-122.87100000000001,17.37
53.7758,-1.7571900000000003,16.19
35.7087,139.655,17.51
38.4795,-109.273,18.51
43.9819,-110.663,15.99
36.0132,-111.867,21.8
36.0573,-112.141,21.36
31.8853,-110.94,22.75
31.6779,-110.586,20.85
42.7311,-92.4881,17.32
36.7207,-118.971,18.24
51.2982,6.85854,18.74
34.6043,-78.1375,20.39
33.0399,-117.266,19.65
33.0404,-117.266,19.71
33.0403,-117.266,19.79
33.0292,-117.27799999999999,15.6
33.0292,-117.277,18.56
33.0292,-117.277,19.72
33.0298,-117.281,19.67
33.0298,-117.279,20.29
33.0335,-117.28299999999999,19.86
33.0285,-117.28299999999999,20.07
40.3541,-4.25202,18.81
38.4005,-122.87100000000001,16.33
49.5688,5.8856,16.82
31.4179,-100.51100000000001,17.49
38.4006,-122.87100000000001,17.68
47.2665,8.267660000000001,20.11
36.0283,-107.904,21.5
46.722,-71.1847,17.23
30.2934,-97.7016,18.94
33.0402,-117.266,18.06
32.7597,-96.8195,19.82
43.6598,1.3770200000000001,16.92
32.71,-108.303,19.22
41.0722,-85.0171,18.59
43.0866,10.5374,19.99
43.0868,10.5373,19.39
42.5711,-76.2403,19.66
35.9692,-112.12899999999999,20.21
28.6927,-81.4615,18.26
4.6898,-74.0902,11.77
34.4568,-119.795,21.14
46.0303,0.6418560000000001,18.67
33.7833,-115.796,18.84
49.7144,-108.009,20.99
50.9771,10.9977,20.09
40.4551,-4.36048,20.76
30.2031,-98.0139,20.17
30.2029,-98.0142,19.73
50.9601,4.49092,17.44
51.1803,7.4980899999999995,19.96
30.2029,-98.0143,18.3
30.2029,-98.0144,18.25
34.2193,-110.022,18.5
31.4179,-100.51100000000001,17.71
46.5549,-70.5594,20.63
46.5549,-70.5596,20.92
30.2029,-98.0143,19.75
30.203000000000003,-98.0141,21.07
46.5548,-70.5596,21.47
34.4715,132.825,20.46
46.9095,-70.6195,21.42
50.855,6.0823,19.59
52.3972,13.0488,19.62
43.1556,5.89599,19.71
